SID,BP_slow_NREM_F3,BP_slow_NREM_F4,BP_slow_NREM_C3,BP_slow_NREM_C4,BP_slow_NREM_O1,BP_slow_NREM_O2,BP_slow_REM_F3,BP_slow_REM_F4,BP_slow_REM_C3,BP_slow_REM_C4,BP_slow_REM_O1,BP_slow_REM_O2,BP_slow_W_F3,BP_slow_W_F4,BP_slow_W_C3,BP_slow_W_C4,BP_slow_W_O1,BP_slow_W_O2,BP_delta_NREM_F3,BP_delta_NREM_F4,BP_delta_NREM_C3,BP_delta_NREM_C4,BP_delta_NREM_O1,BP_delta_NREM_O2,BP_delta_REM_F3,BP_delta_REM_F4,BP_delta_REM_C3,BP_delta_REM_C4,BP_delta_REM_O1,BP_delta_REM_O2,BP_delta_W_F3,BP_delta_W_F4,BP_delta_W_C3,BP_delta_W_C4,BP_delta_W_O1,BP_delta_W_O2,BP_theta_NREM_F3,BP_theta_NREM_F4,BP_theta_NREM_C3,BP_theta_NREM_C4,BP_theta_NREM_O1,BP_theta_NREM_O2,BP_theta_REM_F3,BP_theta_REM_F4,BP_theta_REM_C3,BP_theta_REM_C4,BP_theta_REM_O1,BP_theta_REM_O2,BP_theta_W_F3,BP_theta_W_F4,BP_theta_W_C3,BP_theta_W_C4,BP_theta_W_O1,BP_theta_W_O2,BP_alpha_NREM_F3,BP_alpha_NREM_F4,BP_alpha_NREM_C3,BP_alpha_NREM_C4,BP_alpha_NREM_O1,BP_alpha_NREM_O2,BP_alpha_REM_F3,BP_alpha_REM_F4,BP_alpha_REM_C3,BP_alpha_REM_C4,BP_alpha_REM_O1,BP_alpha_REM_O2,BP_alpha_W_F3,BP_alpha_W_F4,BP_alpha_W_C3,BP_alpha_W_C4,BP_alpha_W_O1,BP_alpha_W_O2,BP_sigma_NREM_F3,BP_sigma_NREM_F4,BP_sigma_NREM_C3,BP_sigma_NREM_C4,BP_sigma_NREM_O1,BP_sigma_NREM_O2,BP_sigma_REM_F3,BP_sigma_REM_F4,BP_sigma_REM_C3,BP_sigma_REM_C4,BP_sigma_REM_O1,BP_sigma_REM_O2,BP_sigma_W_F3,BP_sigma_W_F4,BP_sigma_W_C3,BP_sigma_W_C4,BP_sigma_W_O1,BP_sigma_W_O2,BP_beta_NREM_F3,BP_beta_NREM_F4,BP_beta_NREM_C3,BP_beta_NREM_C4,BP_beta_NREM_O1,BP_beta_NREM_O2,BP_beta_REM_F3,BP_beta_REM_F4,BP_beta_REM_C3,BP_beta_REM_C4,BP_beta_REM_O1,BP_beta_REM_O2,BP_beta_W_F3,BP_beta_W_F4,BP_beta_W_C3,BP_beta_W_C4,BP_beta_W_O1,BP_beta_W_O2
I0003175075972,1.4592047308627239e-10,1.5230355349091508e-10,1.0317235510874872e-10,1.0245655192178415e-10,4.0131771286976567e-10,4.1266097767506276e-10,6.256905576871955e-11,6.304728745759062e-11,4.10432520571011e-11,3.7198599848913494e-11,1.0579043485243169e-10,1.0462280149464383e-10,3.857647445019927e-10,2.908378429305624e-10,3.4086620544898224e-10,3.1027667150082827e-10,4.1746988682694337e-10,3.77971836254631e-10,1.3300149570920739e-09,1.3633222970399043e-09,9.17255248121945e-10,8.888488374330529e-10,3.321690500912836e-09,3.4670866270306387e-09,7.460651071726723e-10,7.986996083744227e-10,4.818479384499135e-10,5.628320597596727e-10,1.1519000486198706e-09,1.186726213951946e-09,3.066070929163391e-09,2.6074006713887293e-09,2.8836033744841206e-09,2.755361085657909e-09,3.7128144249125818e-09,3.324090179189493e-09,1.6467181775254506e-10,1.737184093125159e-10,1.1072977286410637e-10,1.0383652377833264e-10,2.7280173449060543e-10,2.897762382042612e-10,1.3009655346266134e-10,1.2972728574822297e-10,8.250551929179277e-11,8.454258660975638e-11,2.303644076884689e-10,2.1671349057175314e-10,7.626356415201746e-11,7.226592443429138e-11,5.908656021027003e-11,5.1301733484233894e-11,1.458630891498601e-10,1.3225298908856646e-10,2.5456994065072216e-11,2.5077666346110704e-11,1.8054520451681392e-11,1.6536367676351267e-11,3.362061310123175e-11,3.467074843996955e-11,1.9966557945855943e-11,1.9177518086148596e-11,1.555544468677064e-11,1.5146139784236217e-11,3.602962986094565e-11,3.357192149940725e-11,2.3211763024954433e-11,2.1213444473488795e-11,2.1545719586023074e-11,1.6776632475780084e-11,4.876932222833522e-11,4.2176932244953314e-11,9.381242455536825e-12,9.029872240472416e-12,6.35998193811319e-12,5.5094316394500064e-12,1.0193127935645898e-11,1.0620918243694236e-11,4.687790993855228e-12,4.537518984656979e-12,3.338257693733456e-12,3.1702102851262843e-12,5.981109072750772e-12,6.185693944797628e-12,4.380247672750296e-12,4.520069218405859e-12,3.1060140926143333e-12,2.547392462759438e-12,6.543568497576448e-12,6.574664416431586e-12,1.1633402261369323e-11,1.1150637178918037e-11,7.42349102058188e-12,6.7781766741789326e-12,9.341350092186296e-12,1.0174105954212696e-11,8.122561400661978e-12,8.272610960935854e-12,5.657244769227814e-12,5.123617899812161e-12,8.134052592841198e-12,8.970068828639411e-12,1.3534103084223813e-11,1.7914514250244273e-11,8.1640515079211e-12,6.5990997213326744e-12,1.2048276839556711e-11,1.450782624640311e-11
I0003175076780,2.1744981846923014e-10,2.255655353464239e-10,2.0412273002165867e-10,2.6913684715642607e-10,3.1004834623521356e-10,3.236788305118165e-10,8.873631617713553e-11,9.819386662637643e-11,8.453109173139447e-11,4.6240472774137285e-10,1.0626521013294991e-10,1.0798284699244317e-10,6.21950701217068e-10,4.4457107840815243e-10,9.027164421367677e-10,1.6051335957206987e-09,3.638604209672327e-10,4.1525708672395003e-10,2.2284328254060042e-09,2.2831160442936303e-09,2.034902740529044e-09,2.734058168795836e-09,2.88504877706076e-09,3.0083407453999235e-09,1.09171255243764e-09,1.2010144920271688e-09,9.397295099132266e-10,3.622959129556253e-09,1.1641289443845323e-09,1.1912452776928722e-09,9.984349023413566e-09,3.631517986897189e-09,1.5418328186292484e-08,1.1412353517859179e-08,3.0961504074526823e-09,3.165342925338373e-09,3.132827498363949e-10,3.183852754391117e-10,1.8197905862931623e-10,1.958958522023435e-10,3.105384648730241e-10,2.98530714422718e-10,2.1560938297371052e-10,2.1576910612775924e-10,1.1039993917728517e-10,2.2743542525690778e-10,1.7630690866221002e-10,1.9091474373389467e-10,7.234714361066899e-10,2.162456206418062e-10,9.66738589126194e-10,1.7208557545300985e-09,2.29185202104666e-10,2.456589554625959e-10,7.070246786454999e-11,8.060407280818125e-11,3.753487186084754e-11,4.277667408912132e-11,4.487947118835452e-11,4.655111096071789e-11,2.4432001372822895e-11,2.4076513044171434e-11,1.632448111177664e-11,3.7529145221831025e-11,2.3631825336337127e-11,2.5969666348161234e-11,1.2677798189483695e-10,4.324500021886432e-11,1.5875625335088715e-10,2.1272112587357178e-10,4.1578399165476687e-11,4.8859010430171526e-11,1.4775834027416697e-11,1.4663164636628736e-11,8.895122755539952e-12,9.708641855769957e-12,7.876111064828442e-12,8.214905251460954e-12,5.441542983785566e-12,5.6225109127178415e-12,3.26825177881227e-12,1.016612914306072e-11,4.134178722290653e-12,4.611757503117605e-12,3.2801106669086814e-11,1.2988817276195442e-11,3.8563513639385875e-11,1.299051688056326e-10,6.621249454155742e-12,7.035948644816806e-12,2.1548972707122856e-11,2.2379284775527172e-11,1.3683391116072414e-11,1.622696408583391e-11,1.0341995426076051e-11,1.1203742508669448e-11,9.869981379454114e-12,1.2283660387666332e-11,5.574912839744694e-12,1.5368909513298332e-11,6.984336495837392e-12,7.68069517660486e-12,4.6845483515114566e-11,4.6902406247562556e-11,3.817236229340421e-11,1.299511286419355e-10,1.4179234534662883e-11,1.2643017986713962e-11
I0003175173838,5.972426788126684e-11,6.551700682652223e-11,1.7854559287839716e-10,1.525152082202151e-10,3.328257503509426e-10,3.6288070003531736e-10,2.252612472474076e-11,2.749966422256383e-11,7.97521623812118e-11,7.035621537691233e-11,1.6838088880809821e-10,1.7731557042950666e-10,6.56822989387145e-11,6.427353147177263e-11,1.5925890730862178e-10,1.6197914874254374e-10,4.4199805472042003e-10,4.541574486560912e-10,5.327198089553786e-10,6.015151099822913e-10,1.625607943590691e-09,1.4214614919013613e-09,2.86793628173685e-09,3.065269848549169e-09,2.1349108880330904e-10,2.5751627889859204e-10,7.801872991453517e-10,6.956618512444613e-10,1.6089722825672403e-09,1.6887955042451389e-09,6.201179242111842e-10,6.886555247929202e-10,1.7465142192165574e-09,1.6799078081887865e-09,3.991552760343746e-09,3.8183640573503394e-09,1.0112474986850322e-10,1.2510133303447715e-10,4.0255194270859953e-10,3.1110237907835923e-10,5.783156737200833e-10,6.098529930195148e-10,5.3251010345302144e-11,7.030642038821743e-11,2.2468469365531914e-10,1.8354168389620616e-10,3.9802525075784024e-10,4.3278646841092577e-10,9.20159633405152e-11,9.979983297220043e-11,3.53809308167101e-10,3.112394583094374e-10,5.420596123538009e-10,5.830598091614036e-10,1.857168574782735e-11,2.2600025188386445e-11,9.800463188463433e-11,4.767541478147771e-11,8.196058929667506e-11,9.041465089715562e-11,1.1155839940882874e-11,1.328100623968635e-11,5.676563754432523e-11,3.0083398169879935e-11,5.844260578596932e-11,6.623643143484878e-11,1.635080310728859e-11,1.703279465564785e-11,8.759189867491269e-11,4.1232234950684604e-11,6.385298123207643e-11,6.554806447779139e-11,5.975710689652535e-12,6.913999173731275e-12,3.407789956489981e-11,1.608589628788463e-11,2.0801503834717097e-11,2.0500683346984583e-11,3.933031892370112e-12,4.803410669239022e-12,1.955323403810385e-11,1.04277573237031e-11,1.4180111442266337e-11,1.4198701400577482e-11,3.980414066523343e-12,3.736819896955397e-12,2.7117071485861792e-11,9.926464836209708e-12,1.2354374551695552e-11,1.1171436944568142e-11,6.952806562133078e-12,8.548474918384765e-12,2.7776547097706493e-11,1.467864494553468e-11,1.4916569520948358e-11,1.4430175107067665e-11,4.924806831300532e-12,6.023177209046304e-12,1.6040179034847633e-11,9.747257227226527e-12,1.0720866759067157e-11,1.0474909836966496e-11,3.650033228720891e-12,5.18862814193713e-12,2.3331588994015363e-11,1.03235064113595e-11,8.994158100551759e-12,8.799090405761458e-12
I0003175175263,3.764329626042337e-09,3.2696167936070444e-09,3.4463951273664203e-09,1.4445116294351798e-09,4.815778111921093e-09,2.271744267229864e-09,2.156559785718256e-10,6.586918162920893e-10,2.8997280201955283e-10,3.863154402987409e-10,7.182057618130985e-10,8.247077612892825e-10,2.052549230419579e-08,1.4351880916427844e-08,9.76091488689975e-09,1.7433649367727287e-08,1.2488774951941762e-08,2.1734581336500376e-08,2.5156574702409355e-09,4.139200212800855e-09,3.48234325325835e-09,1.626124989602401e-09,4.692843725106225e-09,2.531315163379558e-09,1.757033348488824e-10,8.946451081552873e-10,2.2257401263557304e-10,2.30243734227014e-10,5.299819671098352e-10,5.818419116543817e-10,5.081480369082871e-08,5.2538081976848025e-08,2.7975433918710748e-08,5.12516692363863e-08,5.282848184309264e-08,7.259044474784741e-08,2.848475928632194e-10,7.430659328471128e-10,3.577890233526762e-10,2.7593725906640134e-10,4.4712929473608575e-10,3.0842691372186264e-10,2.5913236141086534e-11,2.0668540455394951e-10,3.625543825012231e-11,3.256891414482626e-11,8.111389162104447e-11,8.349504722313527e-11,2.4198270552488678e-08,2.818804107120566e-08,1.8750961733013195e-08,3.0758478943704265e-08,2.3593910874048627e-08,2.4207371892894218e-08,9.204322256225634e-11,2.7449746450281897e-10,1.1528956757681457e-10,1.2943901627654266e-10,1.429312723880624e-10,1.4549972676429327e-10,7.396976099254798e-12,7.506155977585992e-11,1.1945104780152738e-11,1.015226403821525e-11,2.66896235229977e-11,2.824834449308052e-11,1.3387630298360262e-08,1.3891641073775042e-08,8.500089993666815e-09,1.6472190825287796e-08,1.5616819684408526e-08,1.3476970867147129e-08,3.060129622000448e-11,1.0092480317867114e-10,3.890591857234788e-11,5.2405821487422555e-11,4.2727481649394506e-11,4.7074684884455905e-11,3.4861912171302525e-12,2.7094002346141637e-11,4.510223851259925e-12,4.401574785599635e-12,7.65408142100186e-12,7.70615018199006e-12,6.891317450628625e-09,7.088714675201083e-09,5.342807064394759e-09,7.072505347174841e-09,7.028371694758124e-09,6.890033912131915e-09,5.988958768201367e-11,2.558780867959854e-10,7.619940074811001e-11,6.114759764661753e-11,7.995353285944451e-11,4.235438573819599e-11,5.1617036675285285e-12,4.204265944385104e-11,6.570440172256802e-12,4.608376205292854e-12,7.912272230736774e-12,7.78359036260881e-12,1.497497405243472e-08,1.7524868750611773e-08,1.3375320995285264e-08,1.8920829128981925e-08,1.3748780002619908e-08,1.5977845574516206e-08
