SID,BP_slow_NREM_F3,BP_slow_NREM_F4,BP_slow_NREM_C3,BP_slow_NREM_C4,BP_slow_NREM_O1,BP_slow_NREM_O2,BP_slow_REM_F3,BP_slow_REM_F4,BP_slow_REM_C3,BP_slow_REM_C4,BP_slow_REM_O1,BP_slow_REM_O2,BP_slow_W_F3,BP_slow_W_F4,BP_slow_W_C3,BP_slow_W_C4,BP_slow_W_O1,BP_slow_W_O2,BP_delta_NREM_F3,BP_delta_NREM_F4,BP_delta_NREM_C3,BP_delta_NREM_C4,BP_delta_NREM_O1,BP_delta_NREM_O2,BP_delta_REM_F3,BP_delta_REM_F4,BP_delta_REM_C3,BP_delta_REM_C4,BP_delta_REM_O1,BP_delta_REM_O2,BP_delta_W_F3,BP_delta_W_F4,BP_delta_W_C3,BP_delta_W_C4,BP_delta_W_O1,BP_delta_W_O2,BP_theta_NREM_F3,BP_theta_NREM_F4,BP_theta_NREM_C3,BP_theta_NREM_C4,BP_theta_NREM_O1,BP_theta_NREM_O2,BP_theta_REM_F3,BP_theta_REM_F4,BP_theta_REM_C3,BP_theta_REM_C4,BP_theta_REM_O1,BP_theta_REM_O2,BP_theta_W_F3,BP_theta_W_F4,BP_theta_W_C3,BP_theta_W_C4,BP_theta_W_O1,BP_theta_W_O2,BP_alpha_NREM_F3,BP_alpha_NREM_F4,BP_alpha_NREM_C3,BP_alpha_NREM_C4,BP_alpha_NREM_O1,BP_alpha_NREM_O2,BP_alpha_REM_F3,BP_alpha_REM_F4,BP_alpha_REM_C3,BP_alpha_REM_C4,BP_alpha_REM_O1,BP_alpha_REM_O2,BP_alpha_W_F3,BP_alpha_W_F4,BP_alpha_W_C3,BP_alpha_W_C4,BP_alpha_W_O1,BP_alpha_W_O2,BP_sigma_NREM_F3,BP_sigma_NREM_F4,BP_sigma_NREM_C3,BP_sigma_NREM_C4,BP_sigma_NREM_O1,BP_sigma_NREM_O2,BP_sigma_REM_F3,BP_sigma_REM_F4,BP_sigma_REM_C3,BP_sigma_REM_C4,BP_sigma_REM_O1,BP_sigma_REM_O2,BP_sigma_W_F3,BP_sigma_W_F4,BP_sigma_W_C3,BP_sigma_W_C4,BP_sigma_W_O1,BP_sigma_W_O2,BP_beta_NREM_F3,BP_beta_NREM_F4,BP_beta_NREM_C3,BP_beta_NREM_C4,BP_beta_NREM_O1,BP_beta_NREM_O2,BP_beta_REM_F3,BP_beta_REM_F4,BP_beta_REM_C3,BP_beta_REM_C4,BP_beta_REM_O1,BP_beta_REM_O2,BP_beta_W_F3,BP_beta_W_F4,BP_beta_W_C3,BP_beta_W_C4,BP_beta_W_O1,BP_beta_W_O2
I0003175075972,145.92047308627238,152.3035534909151,103.17235510874873,102.45655192178417,401.31771286976567,412.66097767506267,62.569055768719544,63.0472874575906,41.04325205710109,37.19859984891349,105.7904348524317,104.62280149464382,385.7647445019928,290.83784293056254,340.86620544898216,310.27667150082846,417.46988682694325,377.97183625463094,1330.0149570920735,1363.3222970399042,917.2552481219451,888.8488374330528,3321.6905009128363,3467.0866270306383,746.0651071726721,798.6996083744226,481.8479384499136,562.8320597596726,1151.9000486198706,1186.726213951946,3066.070929163391,2607.40067138873,2883.6033744841206,2755.361085657909,3712.814424912582,3324.0901791894935,164.67181775254505,173.71840931251594,110.72977286410637,103.83652377833263,272.80173449060544,289.7762382042612,130.09655346266132,129.72728574822298,82.50551929179277,84.54258660975637,230.36440768846893,216.71349057175314,76.26356415201748,72.2659244342914,59.08656021027002,51.3017334842339,145.8630891498601,132.25298908856647,25.456994065072216,25.077666346110707,18.05452045168139,16.536367676351272,33.62061310123175,34.67074843996954,19.966557945855943,19.17751808614859,15.555444686770638,15.146139784236217,36.029629860945654,33.57192149940725,23.211763024954426,21.213444473488792,21.54571958602308,16.776632475780087,48.76932222833521,42.17693224495331,9.381242455536825,9.029872240472415,6.359981938113189,5.509431639450005,10.193127935645897,10.620918243694238,4.687790993855228,4.5375189846569794,3.338257693733456,3.1702102851262843,5.9811090727507725,6.185693944797628,4.380247672750296,4.520069218405858,3.1060140926143327,2.547392462759438,6.543568497576448,6.5746644164315855,11.633402261369325,11.150637178918037,7.4234910205818805,6.7781766741789315,9.341350092186296,10.174105954212695,8.12256140066198,8.272610960935854,5.6572447692278125,5.123617899812162,8.134052592841199,8.97006882863941,13.534103084223815,17.91451425024427,8.164051507921098,6.599099721332675,12.04827683955671,14.507826246403113
I0003175076780,217.44981846923014,225.5655353464239,204.12273002165867,269.136847156426,310.04834623521356,323.6788305118165,88.73631617713554,98.19386662637642,84.53109173139441,462.40472774137254,106.26521013294987,107.9828469924432,621.9507012170678,444.5710784081524,902.7164421367685,1605.1335957206988,363.86042096723236,415.2570867239501,2228.432825406004,2283.1160442936302,2034.9027405290435,2734.058168795836,2885.0487770607606,3008.340745399924,1091.7125524376402,1201.0144920271684,939.7295099132267,3622.9591295562523,1164.1289443845324,1191.2452776928722,9984.34902341356,3631.5179868971886,15418.328186292487,11412.353517859177,3096.1504074526833,3165.342925338373,313.28274983639494,318.3852754391117,181.97905862931623,195.89585220234346,310.5384648730241,298.530714422718,215.60938297371052,215.76910612775924,110.39993917728516,227.43542525690773,176.30690866221002,190.91474373389468,723.4714361066899,216.24562064180625,966.7385891261939,1720.8557545300994,229.18520210466593,245.65895546259597,70.70246786455,80.60407280818126,37.53487186084754,42.77667408912132,44.87947118835452,46.55111096071789,24.432001372822903,24.07651304417144,16.324481111776635,37.52914522183103,23.631825336337126,25.96966634816124,126.777981894837,43.24500021886433,158.7562533508871,212.7211258735718,41.578399165476675,48.85901043017154,14.775834027416694,14.663164636628737,8.895122755539953,9.708641855769958,7.876111064828443,8.214905251460955,5.441542983785566,5.622510912717842,3.26825177881227,10.166129143060722,4.134178722290653,4.611757503117604,32.80110666908681,12.988817276195446,38.56351363938588,129.90516880563257,6.621249454155741,7.035948644816807,21.548972707122857,22.379284775527175,13.683391116072412,16.226964085833913,10.34199542607605,11.203742508669448,9.869981379454115,12.28366038766633,5.574912839744693,15.368909513298332,6.984336495837392,7.680695176604862,46.84548351511457,46.90240624756256,38.1723622934042,129.95112864193538,14.179234534662884,12.64301798671396
I0003175173838,59.72426788126685,65.51700682652222,178.54559287839714,152.5152082202151,332.8257503509426,362.88070003531743,22.526124724740765,27.499664222563833,79.75216238121179,70.35621537691235,168.38088880809823,177.31557042950666,65.68229893871448,64.27353147177264,159.25890730862173,161.97914874254374,441.99805472042,454.1574486560912,532.7198089553785,601.5151099822913,1625.6079435906909,1421.4614919013613,2867.93628173685,3065.269848549169,213.49108880330903,257.5162788985921,780.1872991453517,695.6618512444613,1608.9722825672402,1688.7955042451385,620.1179242111842,688.6555247929203,1746.5142192165576,1679.9078081887862,3991.552760343747,3818.3640573503394,101.12474986850322,125.10133303447715,402.5519427085996,311.1023790783593,578.3156737200833,609.8529930195149,53.25101034530214,70.30642038821742,224.6846936553191,183.54168389620617,398.02525075784024,432.78646841092586,92.01596334051521,99.79983297220048,353.80930816710094,311.2394583094374,542.0596123538007,583.0598091614035,18.571685747827352,22.600025188386446,98.00463188463432,47.675414781477706,81.96058929667507,90.41465089715561,11.155839940882876,13.281006239686349,56.76563754432524,30.08339816987994,58.44260578596931,66.23643143484878,16.35080310728859,17.03279465564786,87.59189867491271,41.23223495068461,63.85298123207641,65.54806447779139,5.975710689652537,6.913999173731275,34.077899564899816,16.08589628788463,20.8015038347171,20.50068334698458,3.933031892370112,4.803410669239023,19.55323403810385,10.427757323703098,14.180111442266334,14.19870140057748,3.980414066523343,3.7368198969553963,27.117071485861786,9.926464836209709,12.35437455169555,11.171436944568143,6.952806562133079,8.548474918384766,27.77654709770649,14.678644945534684,14.916569520948363,14.430175107067667,4.924806831300532,6.023177209046304,16.040179034847636,9.747257227226527,10.720866759067157,10.474909836966496,3.6500332287208916,5.188628141937131,23.331588994015362,10.323506411359501,8.994158100551756,8.79909040576146
I0003175175263,3764.3296260423367,3269.616793607044,3446.3951273664197,1444.5116294351799,4815.778111921094,2271.7442672298644,215.65597857182556,658.6918162920892,289.9728020195529,386.3154402987409,718.2057618130984,824.7077612892824,20525.49230419579,14351.880916427846,9760.914886899749,17433.64936772729,12488.774951941763,21734.58133650037,2515.657470240936,4139.200212800856,3482.343253258349,1626.1249896024012,4692.843725106226,2531.315163379558,175.70333484888238,894.6451081552873,222.574012635573,230.243734227014,529.9819671098353,581.8419116543815,50814.80369082871,52538.08197684803,27975.43391871075,51251.66923638629,52828.481843092646,72590.44474784743,284.8475928632195,743.0659328471127,357.7890233526763,275.9372590664012,447.1292947360858,308.42691372186266,25.913236141086536,206.6854045539495,36.255438250122296,32.568914144826266,81.11389162104447,83.49504722313527,24198.27055248868,28188.041071205662,18750.961733013195,30758.478943704267,23593.910874048615,24207.371892894214,92.04322256225635,274.497464502819,115.28956757681459,129.43901627654265,142.93127238806244,145.49972676429329,7.396976099254798,75.06155977585993,11.945104780152738,10.15226403821525,26.6896235229977,28.248344493080527,13387.630298360264,13891.641073775045,8500.089993666816,16472.190825287795,15616.819684408529,13476.970867147133,30.601296220004482,100.92480317867116,38.9059185723479,52.40582148742258,42.727481649394505,47.07468488445591,3.486191217130252,27.094002346141647,4.510223851259926,4.401574785599635,7.65408142100186,7.706150181990062,6891.317450628626,7088.714675201087,5342.807064394758,7072.5053471748415,7028.371694758126,6890.0339121319175,59.88958768201367,255.8780867959855,76.19940074811,61.14759764661757,79.95353285944455,42.35438573819601,5.1617036675285295,42.042659443851036,6.570440172256801,4.6083762052928545,7.912272230736773,7.783590362608812,14974.974052434725,17524.86875061178,13375.320995285263,18920.829128981928,13748.780002619907,15977.845574516203
